lineage,collection_date,subm_date,region,country,province,variant,date_2weeks
DENV-3 Genotype III,1985-01-01,,,Mozambique,,Genotype III,1985-01-01
DENV-3 Genotype III,2011-01-01,,,Somalia,,Genotype III,2011-01-01
DENV-3 Genotype III,2011-01-01,,,Somalia,,Genotype III,2011-01-01
DENV-3 Genotype III,2011-01-01,,,Somalia,,Genotype III,2011-01-01
DENV-3 Genotype III,2011-01-01,,,Somalia,,Genotype III,2011-01-01
DENV-3 Genotype III,2011-01-01,,,Somalia,,Genotype III,2011-01-01
DENV-3 Genotype III,2010-01-01,,,Gabon,,Genotype III,2010-01-01
DENV-3 Genotype III,2006-01-01,,,Cameroon,,Genotype III,2006-01-01
DENV-3 Genotype III,2007-01-01,,,Senegal,,Genotype III,2007-01-01
DENV-3 Genotype III,,,,Mozambique,,Genotype III,
DENV-3 Genotype III,2012-01-01,,,Djibouti,,Genotype III,2012-01-01
DENV-3 Genotype III,2012-01-01,,,Djibouti,,Genotype III,2012-01-01
DENV-3 Genotype III,2011-01-01,,,Djibouti,,Genotype III,2011-01-01
DENV-3 Genotype III,2011-01-01,,,Djibouti,,Genotype III,2011-01-01
DENV-3 Genotype III,2010-01-01,,,Madagascar,,Genotype III,2010-01-01
DENV-3 Genotype III,2010-01-01,,,Madagascar,,Genotype III,2010-01-01
DENV-3 Genotype III,2010-01-01,,,Comoros,,Genotype III,2010-01-01
DENV-3 Genotype III,2012-01-01,,,Reunion,,Genotype III,2012-01-01
DENV-3 Genotype III,2012-01-01,,,Reunion,,Genotype III,2012-01-01
DENV-3 Genotype III,2012-01-01,,,Reunion,,Genotype III,2012-01-01
DENV-3 Genotype III,2009-01-01,,,Cabo Verde,,Genotype III,2009-01-01
DENV-3 Genotype III,2008-01-01,,,Cabo Verde,,Genotype III,2008-01-01
DENV-3 Genotype III,2009-01-01,,,Togo,,Genotype III,2009-01-01
DENV-3 Genotype III,2009-01-01,,,Senegal,,Genotype III,2009-01-01
DENV-3 Genotype III,2010-02-01,,,Tanzania,,Genotype III,2010-02-01
DENV-3 Genotype III,2013-04-01,,,Kenya,,Genotype III,2013-04-01
DENV-3 Genotype III,2011-07-01,,,Kenya,,Genotype III,2011-07-01
DENV-3 Genotype III,2011-09-01,,,Kenya,,Genotype III,2011-09-01
DENV-3 Genotype III,2013-07-01,,,Kenya,,Genotype III,2013-07-01
DENV-3 Genotype III,2014-01-01,,,Kenya,,Genotype III,2014-01-01
DENV-3 Genotype III,2014-01-01,,,Ghana,,Genotype III,2014-01-01
DENV-3 Genotype III,2014-01-01,,,Ghana,,Genotype III,2014-01-01
DENV-3 Genotype III,2014-01-01,,,Ghana,,Genotype III,2014-01-01
DENV-3 Genotype III,2014-01-01,,,Ghana,,Genotype III,2014-01-01
DENV-3 Genotype III,2014-01-01,,,Ghana,,Genotype III,2014-01-01
DENV-3 Genotype III,2016-05-15,,,Gabon,,Genotype III,2016-05-15
DENV-3 Genotype III,2016-05-20,,,Gabon,,Genotype III,2016-05-20
DENV-3 Genotype III,2016-07-14,,,Gabon,,Genotype III,2016-07-14
DENV-3 Genotype III,2016-07-22,,,Gabon,,Genotype III,2016-07-22
DENV-3 Genotype III,2017-04-15,,,Gabon,,Genotype III,2017-04-15
DENV-3 Genotype III,2016-05-01,,,Gabon,,Genotype III,2016-05-01
DENV-3 Genotype III,2016-06-17,,,Gabon,,Genotype III,2016-06-17
DENV-3 Genotype III,2016-07-05,,,Gabon,,Genotype III,2016-07-05
DENV-3 Genotype III,2016-07-15,,,Gabon,,Genotype III,2016-07-15
DENV-3 Genotype III,2016-08-08,,,Gabon,,Genotype III,2016-08-08
DENV-3 Genotype III,2019-10-15,,,Sudan,,Genotype III,2019-10-15
DENV-3,2015-03-01,,,Kenya,,Unassigned,2015-03-01
DENV-3,2015-05-01,,,Kenya,,Unassigned,2015-05-01
DENV-3,2015-06-01,,,Kenya,,Unassigned,2015-06-01
DENV-3,2015-06-01,,,Kenya,,Unassigned,2015-06-01
DENV-3,2015-05-01,,,Kenya,,Unassigned,2015-05-01
DENV-3,2015-06-01,,,Kenya,,Unassigned,2015-06-01
DENV-3,2015-06-01,,,Kenya,,Unassigned,2015-06-01
DENV-3,2015-06-01,,,Kenya,,Unassigned,2015-06-01
DENV-3 Genotype III,2018-10-01,,,Senegal,,Genotype III,2018-10-01
DENV-3 Genotype III,2018-10-01,,,Senegal,,Genotype III,2018-10-01
DENV-3 Genotype III,2018-10-01,,,Senegal,,Genotype III,2018-10-01
DENV-3 Genotype III,2018-10-01,,,Senegal,,Genotype III,2018-10-01
DENV-3 Genotype III,2018-11-01,,,Senegal,,Genotype III,2018-11-01
DENV-3 Genotype III,2018-11-01,,,Senegal,,Genotype III,2018-11-01
DENV-3 Genotype III,2018-11-01,,,Senegal,,Genotype III,2018-11-01
DENV-3 Genotype III,2018-11-01,,,Senegal,,Genotype III,2018-11-01
DENV-3 Genotype III,2018-11-01,,,Senegal,,Genotype III,2018-11-01
DENV-3 Genotype III,2018-11-01,,,Senegal,,Genotype III,2018-11-01
DENV-3 Genotype III,2018-11-01,,,Senegal,,Genotype III,2018-11-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype V,2019-03-01,,,Kenya,,Genotype V,2019-03-01
DENV-3,2019-03-01,,,Kenya,,Unassigned,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2019-03-01,,,Kenya,,Genotype III,2019-03-01
DENV-3 Genotype III,2020-07-27,,,Cameroon,,Genotype III,2020-07-27
DENV-3 Genotype III,2020-09-14,,,Cameroon,,Genotype III,2020-09-14
DENV-3 Genotype III,2020-07-27,,,Cameroon,,Genotype III,2020-07-27
DENV-3 Genotype III,2020-09-11,,,Cameroon,,Genotype III,2020-09-11
DENV-3 Genotype III,2020-08-26,,,Cameroon,,Genotype III,2020-08-26
DENV-3 Genotype III,2020-01-01,,,Tanzania,,Genotype III,2020-01-01
DENV-3 Genotype III,2011-01-01,,,Kenya,,Genotype III,2011-01-01
DENV-3 Genotype III,1993-01-01,,,Somalia,,Genotype III,1993-01-01
DENV-3 Genotype III,2019-11-09,,,Ethiopia,,Genotype III,2019-11-09
DENV-3 Genotype III,2021-07-07,,,Benin,,Genotype III,2021-07-07
DENV-3 Genotype III,2019-11-09,,,Ethiopia,,Genotype III,2019-11-09
