lineage,collection_date,subm_date,region,country,province,variant,date_2weeks
DENV-4 Genotype II,1953-01-01,,,Senegal,,Genotype II,1953-01-01
DENV-4 Genotype II,2014-01-14,,,Angola,,Genotype II,2014-01-14
DENV-4 Genotype II,,,,Senegal,,Genotype II,
DENV-4 Genotype II,2014-01-01,,,Cabo Verde,,Genotype II,2014-01-01
DENV-4 Genotype II,2014-01-01,,,Cabo Verde,,Genotype II,2014-01-01
DENV-4 Genotype II,1981-01-01,,,Senegal,,Genotype II,1981-01-01
DENV-4 Genotype II,2015-02-01,,,Kenya,,Genotype II,2015-02-01
DENV-4 Genotype II,2016-02-01,,,Kenya,,Genotype II,2016-02-01
DENV-4 Genotype II,2016-02-01,,,Kenya,,Genotype II,2016-02-01
DENV-4 Genotype II,2016-03-01,,,Kenya,,Genotype II,2016-03-01
DENV-4 Genotype II,2016-09-01,,,Kenya,,Genotype II,2016-09-01
DENV-4 Genotype II,2015-12-01,,,Kenya,,Genotype II,2015-12-01
DENV-4 Genotype II,2015-12-01,,,Kenya,,Genotype II,2015-12-01
DENV-4 Genotype II,2016-01-01,,,Kenya,,Genotype II,2016-01-01
DENV-4 Genotype I,1983-01-01,,,Senegal,,Genotype I,1983-01-01
